k	alpha	distribution	manager	thresholds	entropy	time
5	1.0	f	m	[f:6,]	1.99252	14201.6
6	1.0	f	m	[f:6,]	1.97014	4314.0
7	1.0	f	m	[f:6,]	1.94323	1427.55
8	1.0	f	m	[f:6,]	1.91613	654.994
9	1.0	f	m	[f:6,]	1.9051	366.689
10	1.0	f	m	[f:6,]	1.88932	308.409
11	1.0	f	m	[f:6,]	1.88083	275.226
12	1.0	f	m	[f:6,]	1.86538	274.427
13	1.0	f	m	[f:6,]	1.85025	283.567
14	1.0	f	m	[f:6,]	1.8441	279.617
15	1.0	f	m	[f:6,]	1.83763	321.614
12	1.0	f	m	[f:3,]	1.86605	243.061
12	1.0	f	m	[f:6,]	1.86538	223.103
12	1.0	f	m	[f:9,]	1.86376	221.524
12	1.0	f	m	[n:0.3,]	1.9815	244.255
12	1.0	f	m	[n:0.4,]	1.97406	304.968
12	1.0	f	m	[n:0.5,]	1.92033	313.235
12	1.0	f	m	[c:0.01,]	1.97481	222.068
12	1.0	f	m	[c:0.05,]	1.97643	226.548
12	1.0	f	m	[c:0.1,]	1.97625	218.448

